id,book,chapter,verse,text,authentic
64001014,3 John,1,14,"But I trust I shall shortly see thee, and we shall speak face to face. Peace be to thee. Our friends salute thee. Greet the friends by name.",False
60003008,1 Peter,3,8,"Finally, be ye all of one mind, having compassion one of another, love as brethren, be pitiful, be courteous:",False
60004013,1 Peter,4,13,"But rejoice, inasmuch as ye are partakers of Christ's sufferings; that, when his glory shall be revealed, ye may be glad also with exceeding joy.",False
59001013,James,1,13,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",False
62002003,1 John,2,3,"And hereby we do know that we know him, if we keep his commandments.",False
60004009,1 Peter,4,9,Use hospitality one to another without grudging.,False
62004013,1 John,4,13,"Hereby know we that we dwell in him, and he in us, because he hath given us of his Spirit.",False
61001015,2 Peter,1,15,Moreover I will endeavour that ye may be able after my decease to have these things always in remembrance.,False
62002011,1 John,2,11,"But he that hateth his brother is in darkness, and walketh in darkness, and knoweth not whither he goeth, because that darkness hath blinded his eyes.",False
59001003,James,1,3,"Knowing this, that the trying of your faith worketh patience.",False
59001026,James,1,26,"If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.",False
61002010,2 Peter,2,10,"But chiefly them that walk after the flesh in the lust of uncleanness, and despise government. Presumptuous are they, selfwilled, they are not afraid to speak evil of dignities.",False
59003015,James,3,15,"This wisdom descendeth not from above, but is earthly, sensual, devilish.",False
65001009,Jude,1,9,"Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee.",False
59003003,James,3,3,"Behold, we put bits in the horses' mouths, that they may obey us; and we turn about their whole body.",False
64001007,3 John,1,7,"Because that for his name's sake they went forth, taking nothing of the Gentiles.",False
59001025,James,1,25,"But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.",False
62002020,1 John,2,20,"But ye have an unction from the Holy One, and ye know all things.",False
62004006,1 John,4,6,"We are of God: he that knoweth God heareth us; he that is not of God heareth not us. Hereby know we the spirit of truth, and the spirit of error.",False
59001008,James,1,8,A double minded man is unstable in all his ways.,False
59004007,James,4,7,"Submit yourselves therefore to God. Resist the devil, and he will flee from you.",False
62001002,1 John,1,2,"(For the life was manifested, and we have seen it, and bear witness, and shew unto you that eternal life, which was with the Father, and was manifested unto us;)",False
65001007,Jude,1,7,"Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire.",False
60002014,1 Peter,2,14,"Or unto governors, as unto them that are sent by him for the punishment of evildoers, and for the praise of them that do well.",False
59003001,James,3,1,"My brethren, be not many masters, knowing that we shall receive the greater condemnation.",False
62001010,1 John,1,10,"If we say that we have not sinned, we make him a liar, and his word is not in us.",False
61003012,2 Peter,3,12,"Looking for and hasting unto the coming of the day of God, wherein the heavens being on fire shall be dissolved, and the elements shall melt with fervent heat?",False
65001005,Jude,1,5,"I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not.",False
62002017,1 John,2,17,"And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever.",False
60001024,1 Peter,1,24,"For all flesh is as grass, and all the glory of man as the flower of grass. The grass withereth, and the flower thereof falleth away:",False
61003014,2 Peter,3,14,"Wherefore, beloved, seeing that ye look for such things, be diligent that ye may be found of him in peace, without spot, and blameless.",False
59003014,James,3,14,"But if ye have bitter envying and strife in your hearts, glory not, and lie not against the truth.",False
62004004,1 John,4,4,"Ye are of God, little children, and have overcome them: because greater is he that is in you, than he that is in the world.",False
59002002,James,2,2,"For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;",False
60005007,1 Peter,5,7,Casting all your care upon him; for he careth for you.,False
62004009,1 John,4,9,"In this was manifested the love of God toward us, because that God sent his only begotten Son into the world, that we might live through him.",False
60003003,1 Peter,3,3,"Whose adorning let it not be that outward adorning of plaiting the hair, and of wearing of gold, or of putting on of apparel;",False
59003017,James,3,17,"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",False
61003006,2 Peter,3,6,"Whereby the world that then was, being overflowed with water, perished:",False
60004002,1 Peter,4,2,"That he no longer should live the rest of his time in the flesh to the lusts of men, but to the will of God.",False
61003009,2 Peter,3,9,"The Lord is not slack concerning his promise, as some men count slackness; but is longsuffering to us-ward, not willing that any should perish, but that all should come to repentance.",False
60004004,1 Peter,4,4,"Wherein they think it strange that ye run not with them to the same excess of riot, speaking evil of you:",False
62002029,1 John,2,29,"If ye know that he is righteous, ye know that every one that doeth righteousness is born of him.",False
62003006,1 John,3,6,"Whosoever abideth in him sinneth not: whosoever sinneth hath not seen him, neither known him.",False
61001020,2 Peter,1,20,"Knowing this first, that no prophecy of the scripture is of any private interpretation.",False
60001007,1 Peter,1,7,"That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:",False
62004017,1 John,4,17,"Herein is our love made perfect, that we may have boldness in the day of judgment: because as he is, so are we in this world.",False
60005014,1 Peter,5,14,Greet ye one another with a kiss of charity. Peace be with you all that are in Christ Jesus. Amen.,False
60005001,1 Peter,5,1,"The elders which are among you I exhort, who am also an elder, and a witness of the sufferings of Christ, and also a partaker of the glory that shall be revealed:",False
60004001,1 Peter,4,1,"Forasmuch then as Christ hath suffered for us in the flesh, arm yourselves likewise with the same mind: for he that hath suffered in the flesh hath ceased from sin;",False
59003018,James,3,18,And the fruit of righteousness is sown in peace of them that make peace.,False
59002011,James,2,11,"For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law.",False
60002009,1 Peter,2,9,"But ye are a chosen generation, a royal priesthood, an holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light;",False
63001012,2 John,1,12,"Having many things to write unto you, I would not write with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.",False
62003002,1 John,3,2,"Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is.",False
61002002,2 Peter,2,2,And many shall follow their pernicious ways; by reason of whom the way of truth shall be evil spoken of.,False
60001010,1 Peter,1,10,"Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:",False
59002004,James,2,4,"Are ye not then partial in yourselves, and are become judges of evil thoughts?",False
64001010,3 John,1,10,"Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth them out of the church.",False
59003016,James,3,16,"For where envying and strife is, there is confusion and every evil work.",False
61002020,2 Peter,2,20,"For if after they have escaped the pollutions of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein, and overcome, the latter end is worse with them than the beginning.",False
62001006,1 John,1,6,"If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:",False
62005013,1 John,5,13,"These things have I written unto you that believe on the name of the Son of God; that ye may know that ye have eternal life, and that ye may believe on the name of the Son of God.",False
59002014,James,2,14,"What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?",False
59001018,James,1,18,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.",False
62005017,1 John,5,17,All unrighteousness is sin: and there is a sin not unto death.,False
62001009,1 John,1,9,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness.",False
62002007,1 John,2,7,"Brethren, I write no new commandment unto you, but an old commandment which ye had from the beginning. The old commandment is the word which ye have heard from the beginning.",False
61002007,2 Peter,2,7,"And delivered just Lot, vexed with the filthy conversation of the wicked:",False
65001006,Jude,1,6,"And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day.",False
64001001,3 John,1,1,"The elder unto the wellbeloved Gaius, whom I love in the truth.",False
60002010,1 Peter,2,10,"Which in time past were not a people, but are now the people of God: which had not obtained mercy, but now have obtained mercy.",False
59005013,James,5,13,Is any among you afflicted? let him pray. Is any merry? let him sing psalms.,False
61002011,2 Peter,2,11,"Whereas angels, which are greater in power and might, bring not railing accusation against them before the Lord.",False
61002004,2 Peter,2,4,"For if God spared not the angels that sinned, but cast them down to hell, and delivered them into chains of darkness, to be reserved unto judgment;",False
59002015,James,2,15,"If a brother or sister be naked, and destitute of daily food,",False
60003019,1 Peter,3,19,By which also he went and preached unto the spirits in prison;,False
59002003,James,2,3,"And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:",False
64001003,3 John,1,3,"For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.",False
62005001,1 John,5,1,Whosoever believeth that Jesus is the Christ is born of God: and every one that loveth him that begat loveth him also that is begotten of him.,False
65001008,Jude,1,8,"Likewise also these filthy dreamers defile the flesh, despise dominion, and speak evil of dignities.",False
62002015,1 John,2,15,"Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him.",False
61001018,2 Peter,1,18,"And this voice which came from heaven we heard, when we were with him in the holy mount.",False
65001019,Jude,1,19,"These be they who separate themselves, sensual, having not the Spirit.",False
62002002,1 John,2,2,"And he is the propitiation for our sins: and not for our's only, but also for the sins of the whole world.",False
59003013,James,3,13,Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,False
60003018,1 Peter,3,18,"For Christ also hath once suffered for sins, the just for the unjust, that he might bring us to God, being put to death in the flesh, but quickened by the Spirit:",False
60002023,1 Peter,2,23,"Who, when he was reviled, reviled not again; when he suffered, he threatened not; but committed himself to him that judgeth righteously:",False
60004007,1 Peter,4,7,"But the end of all things is at hand: be ye therefore sober, and watch unto prayer.",False
59005007,James,5,7,"Be patient therefore, brethren, unto the coming of the Lord. Behold, the husbandman waiteth for the precious fruit of the earth, and hath long patience for it, until he receive the early and latter rain.",False
60003015,1 Peter,3,15,But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,False
59001011,James,1,11,"For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.",False
62005019,1 John,5,19,"And we know that we are of God, and the whole world lieth in wickedness.",False
60004015,1 Peter,4,15,"But let none of you suffer as a murderer, or as a thief, or as an evildoer, or as a busybody in other men's matters.",False
62004010,1 John,4,10,"Herein is love, not that we loved God, but that he loved us, and sent his Son to be the propitiation for our sins.",False
61001019,2 Peter,1,19,"We have also a more sure word of prophecy; whereunto ye do well that ye take heed, as unto a light that shineth in a dark place, until the day dawn, and the day star arise in your hearts:",False
59001004,James,1,4,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.",False
59002016,James,2,16,"And one of you say unto them, Depart in peace, be ye warmed and filled; notwithstanding ye give them not those things which are needful to the body; what doth it profit?",False
62003024,1 John,3,24,"And he that keepeth his commandments dwelleth in him, and he in him. And hereby we know that he abideth in us, by the Spirit which he hath given us.",False
61001005,2 Peter,1,5,"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;",False
62002027,1 John,2,27,"But the anointing which ye have received of him abideth in you, and ye need not that any man teach you: but as the same anointing teacheth you of all things, and is truth, and is no lie, and even as it hath taught you, ye shall abide in him.",False
62003017,1 John,3,17,"But whoso hath this world's good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him?",False
61002008,2 Peter,2,8,"(For that righteous man dwelling among them, in seeing and hearing, vexed his righteous soul from day to day with their unlawful deeds;)",False
61001016,2 Peter,1,16,"For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty.",False
60003017,1 Peter,3,17,"For it is better, if the will of God be so, that ye suffer for well doing, than for evil doing.",False
59001014,James,1,14,"But every man is tempted, when he is drawn away of his own lust, and enticed.",False
60005011,1 Peter,5,11,To him be glory and dominion for ever and ever. Amen.,False
60002025,1 Peter,2,25,For ye were as sheep going astray; but are now returned unto the Shepherd and Bishop of your souls.,False
62002026,1 John,2,26,These things have I written unto you concerning them that seduce you.,False
62001003,1 John,1,3,"That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ.",False
63001001,2 John,1,1,"The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;",False
60003004,1 Peter,3,4,"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",False
61001003,2 Peter,1,3,"According as his divine power hath given unto us all things that pertain unto life and godliness, through the knowledge of him that hath called us to glory and virtue:",False
60001001,1 Peter,1,1,"Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia,",False
61003007,2 Peter,3,7,"But the heavens and the earth, which are now, by the same word are kept in store, reserved unto fire against the day of judgment and perdition of ungodly men.",False
62003021,1 John,3,21,"Beloved, if our heart condemn us not, then have we confidence toward God.",False
59002009,James,2,9,"But if ye have respect to persons, ye commit sin, and are convinced of the law as transgressors.",False
60005006,1 Peter,5,6,"Humble yourselves therefore under the mighty hand of God, that he may exalt you in due time:",False
59005012,James,5,12,"But above all things, my brethren, swear not, neither by heaven, neither by the earth, neither by any other oath: but let your yea be yea; and your nay, nay; lest ye fall into condemnation.",False
62002021,1 John,2,21,"I have not written unto you because ye know not the truth, but because ye know it, and that no lie is of the truth.",False
62005005,1 John,5,5,"Who is he that overcometh the world, but he that believeth that Jesus is the Son of God?",False
60001005,1 Peter,1,5,Who are kept by the power of God through faith unto salvation ready to be revealed in the last time.,False
60003016,1 Peter,3,16,"Having a good conscience; that, whereas they speak evil of you, as of evildoers, they may be ashamed that falsely accuse your good conversation in Christ.",False
60001021,1 Peter,1,21,"Who by him do believe in God, that raised him up from the dead, and gave him glory; that your faith and hope might be in God.",False
60004010,1 Peter,4,10,"As every man hath received the gift, even so minister the same one to another, as good stewards of the manifold grace of God.",False
63001013,2 John,1,13,The children of thy elect sister greet thee. Amen.,False
62002018,1 John,2,18,"Little children, it is the last time: and as ye have heard that antichrist shall come, even now are there many antichrists; whereby we know that it is the last time.",False
60002015,1 Peter,2,15,"For so is the will of God, that with well doing ye may put to silence the ignorance of foolish men:",False
62001005,1 John,1,5,"This then is the message which we have heard of him, and declare unto you, that God is light, and in him is no darkness at all.",False
62002008,1 John,2,8,"Again, a new commandment I write unto you, which thing is true in him and in you: because the darkness is past, and the true light now shineth.",False
59005011,James,5,11,"Behold, we count them happy which endure. Ye have heard of the patience of Job, and have seen the end of the Lord; that the Lord is very pitiful, and of tender mercy.",False
60001011,1 Peter,1,11,"Searching what, or what manner of time the Spirit of Christ which was in them did signify, when it testified beforehand the sufferings of Christ, and the glory that should follow.",False
62005007,1 John,5,7,"For there are three that bear record in heaven, the Father, the Word, and the Holy Ghost: and these three are one.",False
65001013,Jude,1,13,"Raging waves of the sea, foaming out their own shame; wandering stars, to whom is reserved the blackness of darkness for ever.",False
60005005,1 Peter,5,5,"Likewise, ye younger, submit yourselves unto the elder. Yea, all of you be subject one to another, and be clothed with humility: for God resisteth the proud, and giveth grace to the humble.",False
62005020,1 John,5,20,"And we know that the Son of God is come, and hath given us an understanding, that we may know him that is true, and we are in him that is true, even in his Son Jesus Christ. This is the true God, and eternal life.",False
59003008,James,3,8,"But the tongue can no man tame; it is an unruly evil, full of deadly poison.",False
65001002,Jude,1,2,"Mercy unto you, and peace, and love, be multiplied.",False
62003022,1 John,3,22,"And whatsoever we ask, we receive of him, because we keep his commandments, and do those things that are pleasing in his sight.",False
60002019,1 Peter,2,19,"For this is thankworthy, if a man for conscience toward God endure grief, suffering wrongfully.",False
60003012,1 Peter,3,12,"For the eyes of the Lord are over the righteous, and his ears are open unto their prayers: but the face of the Lord is against them that do evil.",False
59001012,James,1,12,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.",False
65001011,Jude,1,11,"Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core.",False
60005002,1 Peter,5,2,"Feed the flock of God which is among you, taking the oversight thereof, not by constraint, but willingly; not for filthy lucre, but of a ready mind;",False
61001010,2 Peter,1,10,"Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:",False
61003010,2 Peter,3,10,"But the day of the Lord will come as a thief in the night; in the which the heavens shall pass away with a great noise, and the elements shall melt with fervent heat, the earth also and the works that are therein shall be burned up.",False
60001019,1 Peter,1,19,"But with the precious blood of Christ, as of a lamb without blemish and without spot:",False
60001020,1 Peter,1,20,"Who verily was foreordained before the foundation of the world, but was manifest in these last times for you,",False
61003001,2 Peter,3,1,"This second epistle, beloved, I now write unto you; in both which I stir up your pure minds by way of remembrance:",False
59003005,James,3,5,"Even so the tongue is a little member, and boasteth great things. Behold, how great a matter a little fire kindleth!",False
60001023,1 Peter,1,23,"Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth for ever.",False
61001014,2 Peter,1,14,"Knowing that shortly I must put off this my tabernacle, even as our Lord Jesus Christ hath shewed me.",False
62003016,1 John,3,16,"Hereby perceive we the love of God, because he laid down his life for us: and we ought to lay down our lives for the brethren.",False
59004004,James,4,4,"Ye adulterers and adulteresses, know ye not that the friendship of the world is enmity with God? whosoever therefore will be a friend of the world is the enemy of God.",False
61001002,2 Peter,1,2,"Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord,",False
59005019,James,5,19,"Brethren, if any of you do err from the truth, and one convert him;",False
59005004,James,5,4,"Behold, the hire of the labourers who have reaped down your fields, which is of you kept back by fraud, crieth: and the cries of them which have reaped are entered into the ears of the Lord of sabaoth.",False
62003003,1 John,3,3,"And every man that hath this hope in him purifieth himself, even as he is pure.",False
62004014,1 John,4,14,And we have seen and do testify that the Father sent the Son to be the Saviour of the world.,False
65001018,Jude,1,18,"How that they told you there should be mockers in the last time, who should walk after their own ungodly lusts.",False
59001024,James,1,24,"For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.",False
62002022,1 John,2,22,"Who is a liar but he that denieth that Jesus is the Christ? He is antichrist, that denieth the Father and the Son.",False
61003015,2 Peter,3,15,And account that the longsuffering of our Lord is salvation; even as our beloved brother Paul also according to the wisdom given unto him hath written unto you;,False
60003022,1 Peter,3,22,"Who is gone into heaven, and is on the right hand of God; angels and authorities and powers being made subject unto him.",False
59001002,James,1,2,"My brethren, count it all joy when ye fall into divers temptations;",False
61001004,2 Peter,1,4,"Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.",False
60004011,1 Peter,4,11,"If any man speak, let him speak as the oracles of God; if any man minister, let him do it as of the ability which God giveth: that God in all things may be glorified through Jesus Christ, to whom be praise and dominion for ever and ever. Amen.",False
59002013,James,2,13,"For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment.",False
60001004,1 Peter,1,4,"To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,",False
62001004,1 John,1,4,"And these things write we unto you, that your joy may be full.",False
65001017,Jude,1,17,"But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ;",False
59003002,James,3,2,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.",False
59001005,James,1,5,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",False
59005017,James,5,17,"Elias was a man subject to like passions as we are, and he prayed earnestly that it might not rain: and it rained not on the earth by the space of three years and six months.",False
62001007,1 John,1,7,"But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus Christ his Son cleanseth us from all sin.",False
60003007,1 Peter,3,7,"Likewise, ye husbands, dwell with them according to knowledge, giving honour unto the wife, as unto the weaker vessel, and as being heirs together of the grace of life; that your prayers be not hindered.",False
59005018,James,5,18,"And he prayed again, and the heaven gave rain, and the earth brought forth her fruit.",False
59004015,James,4,15,"For that ye ought to say, If the Lord will, we shall live, and do this, or that.",False
61003013,2 Peter,3,13,"Nevertheless we, according to his promise, look for new heavens and a new earth, wherein dwelleth righteousness.",False
62005018,1 John,5,18,"We know that whosoever is born of God sinneth not; but he that is begotten of God keepeth himself, and that wicked one toucheth him not.",False
60003014,1 Peter,3,14,"But and if ye suffer for righteousness' sake, happy are ye: and be not afraid of their terror, neither be troubled;",False
61002018,2 Peter,2,18,"For when they speak great swelling words of vanity, they allure through the lusts of the flesh, through much wantonness, those that were clean escaped from them who live in error.",False
60002020,1 Peter,2,20,"For what glory is it, if, when ye be buffeted for your faults, ye shall take it patiently? but if, when ye do well, and suffer for it, ye take it patiently, this is acceptable with God.",False
60003009,1 Peter,3,9,"Not rendering evil for evil, or railing for railing: but contrariwise blessing; knowing that ye are thereunto called, that ye should inherit a blessing.",False
59001007,James,1,7,For let not that man think that he shall receive any thing of the Lord.,False
62003023,1 John,3,23,"And this is his commandment, That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment.",False
59005003,James,5,3,"Your gold and silver is cankered; and the rust of them shall be a witness against you, and shall eat your flesh as it were fire. Ye have heaped treasure together for the last days.",False
62004016,1 John,4,16,"And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him.",False
60002024,1 Peter,2,24,"Who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed.",False
61003003,2 Peter,3,3,"Knowing this first, that there shall come in the last days scoffers, walking after their own lusts,",False
61001009,2 Peter,1,9,"But he that lacketh these things is blind, and cannot see afar off, and hath forgotten that he was purged from his old sins.",False
59004012,James,4,12,"There is one lawgiver, who is able to save and to destroy: who art thou that judgest another?",False
62005011,1 John,5,11,"And this is the record, that God hath given to us eternal life, and this life is in his Son.",False
59004001,James,4,1,"From whence come wars and fightings among you? come they not hence, even of your lusts that war in your members?",False
65001003,Jude,1,3,"Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints.",False
64001012,3 John,1,12,"Demetrius hath good report of all men, and of the truth itself: yea, and we also bear record; and ye know that our record is true.",False
59004017,James,4,17,"Therefore to him that knoweth to do good, and doeth it not, to him it is sin.",False
62004021,1 John,4,21,"And this commandment have we from him, That he who loveth God love his brother also.",False
59003012,James,3,12,"Can the fig tree, my brethren, bear olive berries? either a vine, figs? so can no fountain both yield salt water and fresh.",False
59001015,James,1,15,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",False
65001001,Jude,1,1,"Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:",False
62003019,1 John,3,19,"And hereby we know that we are of the truth, and shall assure our hearts before him.",False
59001019,James,1,19,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:",False
65001014,Jude,1,14,"And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,",False
62003018,1 John,3,18,"My little children, let us not love in word, neither in tongue; but in deed and in truth.",False
61003011,2 Peter,3,11,"Seeing then that all these things shall be dissolved, what manner of persons ought ye to be in all holy conversation and godliness,",False
62004012,1 John,4,12,"No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.",False
60002021,1 Peter,2,21,"For even hereunto were ye called: because Christ also suffered for us, leaving us an example, that ye should follow his steps:",False
62003008,1 John,3,8,"He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil.",False
59005016,James,5,16,"Confess your faults one to another, and pray one for another, that ye may be healed. The effectual fervent prayer of a righteous man availeth much.",False
62005012,1 John,5,12,He that hath the Son hath life; and he that hath not the Son of God hath not life.,False
60002022,1 Peter,2,22,"Who did no sin, neither was guile found in his mouth:",False
